text,job_role
"python sql excel power bi pandas numpy statistics data analysis dashboards reporting",Data Analyst
"sql python pandas excel tableau power bi data visualization business reporting",Data Analyst
"python pandas numpy sql exploratory data analysis statistics power bi",Data Analyst
"sql excel power bi data cleaning data visualization kpis reporting",Data Analyst
"python sql pandas data analysis statistical analysis dashboards excel",Data Analyst
"sql postgresql python pandas power bi sales analysis reporting",Data Analyst
"excel sql power bi customer analytics pandas statistics",Data Analyst
"python numpy pandas sql data wrangling visualization matplotlib statistics",Data Analyst
"sql excel tableau data analysis reporting dashboard development",Data Analyst
"python sql pandas power bi business intelligence data visualization",Data Analyst
"sql mysql excel power bi data cleaning reporting kpi analysis",Data Analyst
"python pandas numpy sql customer segmentation exploratory analysis",Data Analyst
"sql excel power bi sales dashboard trend analysis statistics",Data Analyst
"python sql pandas data preprocessing visualization matplotlib business insights",Data Analyst
"sql postgresql excel power bi operational reporting data analysis",Data Analyst
"python pandas numpy statistics sql cohort analysis dashboard",Data Analyst
"excel sql tableau power bi marketing analytics reporting",Data Analyst
"python sql pandas a/b testing statistics product analytics",Data Analyst
"sql excel power bi revenue analysis customer behavior analytics",Data Analyst
"python pandas numpy sql data quality analysis visualization",Data Analyst
"business analysis requirements gathering stakeholder management process improvement reporting",Business Analyst
"sql excel power bi business intelligence requirements analysis stakeholder communication",Business Analyst
"business requirements functional requirements process mapping documentation stakeholder management",Business Analyst
"excel sql tableau business reporting requirements gathering data analysis",Business Analyst
"business analysis kpi reporting stakeholder communication process improvement",Business Analyst
"requirements gathering user stories process analysis documentation agile",Business Analyst
"sql excel power bi business reporting stakeholder management requirements",Business Analyst
"business process mapping gap analysis requirements documentation",Business Analyst
"excel power bi dashboard requirements analysis business insights",Business Analyst
"stakeholder management requirements elicitation process improvement business analysis",Business Analyst
"sql excel business intelligence reporting kpi analysis requirements",Business Analyst
"business analyst agile user stories acceptance criteria process mapping",Business Analyst
"requirements analysis stakeholder communication documentation risk analysis",Business Analyst
"excel sql power bi management reporting business process analysis",Business Analyst
"business requirements gathering data analysis stakeholder presentations",Business Analyst
"process improvement gap analysis business reporting requirements management",Business Analyst
